2026-02-16 20:47:53,348 | INFO | app.core.engine | Auto trading set to True
2026-02-16 20:47:53,351 | INFO | __main__ | Health server running on :8000/health
2026-02-16 20:47:53,423 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:48:53,533 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:49:53,604 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:50:53,713 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:51:53,823 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:54:09,312 | INFO | app.core.engine | Auto trading set to True
2026-02-16 20:54:09,315 | INFO | __main__ | Health server running on :8000/health
2026-02-16 20:54:09,416 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:55:09,482 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:56:16,914 | INFO | app.core.engine | Auto trading set to True
2026-02-16 20:56:16,920 | INFO | __main__ | Health server running on :8000/health
2026-02-16 20:56:17,260 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:57:17,334 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:58:17,439 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 20:59:17,548 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:00:17,622 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:01:17,731 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:02:17,842 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:03:17,902 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:04:18,018 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:05:18,127 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:06:18,238 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:07:18,346 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:08:18,455 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:09:18,565 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
2026-02-16 21:10:18,675 | INFO | app.core.engine | Order blocked: 휴장일 또는 주말
